"spp.name","region","extant","env.opt","time.of.origin","time.of.extinction","time.of.sp.origin","reg.env","carry.cap","reg.alpha","time.of.sp.extinction"
17873,1,1,2.68810339713729,17018,34683,17018,3.63636363636364,22000,1e-06,34683
17908,1,1,4.07007196171415,17057,37075,17057,3.63636363636364,22000,1e-06,37075
17925,3,1,10.3562496591942,17068,33653,17068,10.9090909090909,22000,2.8e-06,33653
17969,3,1,10.5979192434634,17095,42659,17095,10.9090909090909,22000,2.8e-06,42659
18098,6,1,21.6372723196955,17212,32429,17212,21.8181818181818,22000,5.5e-06,32429
18098,5,0,21.6372723196955,20757,20771,17212,18.1818181818182,22000,4.6e-06,32429
18213,2,1,7.61251528536784,17296,33247,17296,7.27272727272727,22000,1.9e-06,33247
18217,4,1,14.7850440819285,17298,37188,17298,14.5454545454545,22000,3.7e-06,37188
18232,4,1,14.0082154217975,17311,42034,17311,14.5454545454545,22000,3.7e-06,42034
18274,1,1,4.11889914810583,17346,30599,17346,3.63636363636364,22000,1e-06,30599
18299,8,1,28.5245457377281,17358,35360,17358,29.0909090909091,22000,7.3e-06,35360
18304,5,1,17.6745494506659,17365,43901,17365,18.1818181818182,22000,4.6e-06,43901
18413,3,1,11.9268602131732,17446,33831,17446,10.9090909090909,22000,2.8e-06,33831
18469,3,1,11.4809398534582,17494,32725,17494,10.9090909090909,22000,2.8e-06,32725
18475,1,1,2.31791369830538,17497,31724,17497,3.63636363636364,22000,1e-06,31724
18518,3,1,10.7197194802522,17526,38521,17526,10.9090909090909,22000,2.8e-06,38521
18593,6,1,21.7785508048077,17580,30205,17580,21.8181818181818,22000,5.5e-06,30205
18600,5,1,18.5057415899847,17584,33731,17584,18.1818181818182,22000,4.6e-06,33731
18642,3,1,11.0591362549795,17609,44151,17609,10.9090909090909,22000,2.8e-06,44151
18655,1,1,3.77579232390125,17616,82605,17616,3.63636363636364,22000,1e-06,82605
18655,2,0,3.77579232390125,65544,65559,17616,7.27272727272727,22000,1.9e-06,82605
18683,1,1,4.01967958564497,17632,45842,17632,3.63636363636364,22000,1e-06,45842
18756,1,0,7.65153977106501,28095,28098,17681,3.63636363636364,22000,1e-06,65396
18756,2,1,7.65153977106501,17681,65396,17681,7.27272727272727,22000,1.9e-06,65396
18767,2,1,6.81282998329369,17685,31856,17685,7.27272727272727,22000,1.9e-06,31856
18779,6,1,21.3829743287067,17696,30729,17696,21.8181818181818,22000,5.5e-06,30729
